FID;PSID;CSID;DSID;ordid;price;quantity
1207;1;75;3979;2547;700;5
1208;1;96;3986;2542;700;1
1209;1;88;3836;2464;700;4
1210;1;84;3986;2445;700;2
1211;1;70;3748;2438;700;4
1212;1;94;3894;2429;700;1
1213;1;89;3985;2408;700;1
1214;1;85;3932;2397;700;5
1215;1;70;3769;2286;700;4
1216;1;93;3742;2211;700;1
1217;1;74;3789;2102;700;1
1218;1;94;3819;2100;700;2
1219;1;89;3770;2082;700;1
1220;1;96;3898;2063;700;1
1221;1;85;3848;2054;700;5
1222;1;76;3887;2008;700;2
1223;1;85;3769;1957;700;6
1224;1;78;3803;1937;700;2
1225;1;91;4003;1808;700;6
1226;1;84;3722;1768;700;3
1227;1;77;3936;1764;700;6
1228;1;90;3758;1751;700;6
1229;1;89;3989;1711;700;2
1230;1;77;3775;1708;700;3
1231;1;95;3714;1670;700;1
1232;1;71;3744;1664;700;3
1233;1;90;3849;1624;700;3
1234;1;88;3764;1565;700;4
1235;1;86;3997;1547;700;5
1236;1;71;3961;1526;700;6
1237;1;93;3763;1453;700;6
1238;1;74;3768;1441;700;6
1239;1;83;3768;1425;700;6
1240;1;68;3656;1423;700;1
1241;1;91;3909;1413;700;3
1242;1;68;3765;1402;700;3
1;3;67;3699;1563;400;1
2;3;77;3856;1542;400;4
3;3;80;3848;1523;400;6
4;3;97;3799;1513;400;3
5;3;90;3970;1488;400;3
6;3;77;3818;1484;400;3
7;3;73;3847;1417;400;1
8;3;76;3940;1414;400;6
9;3;93;3845;1360;400;4
10;3;97;3832;1354;400;6
11;3;80;3808;1326;400;2
12;3;84;3767;1307;400;2
13;3;69;3866;1276;400;2
14;3;90;3680;1274;400;6
15;3;85;3979;1221;400;2
16;3;94;3746;1214;400;3
17;3;70;3776;1155;400;3
18;3;93;3730;1122;400;1
19;3;70;3732;1091;400;6
20;3;93;3762;1031;400;5
21;3;92;3828;1019;400;6
22;3;75;3701;1004;400;6
23;3;81;3988;982;400;3
24;3;81;3864;959;400;4
25;3;85;3775;933;400;5
26;3;74;3892;915;400;2
27;3;76;3742;905;400;5
28;3;86;3997;902;400;1
29;3;79;3991;882;400;2
30;3;94;3823;869;400;2
31;3;73;3742;830;400;4
32;3;80;3914;718;400;3
33;3;90;3670;709;400;4
34;3;81;3687;691;400;5
35;3;94;3871;682;400;2
36;3;85;3791;645;400;6
37;3;83;3975;617;400;1
38;3;93;3937;608;400;2
39;3;84;3813;559;400;6
40;3;71;3996;537;400;5
41;3;77;3713;507;400;6
42;3;84;3992;465;400;1
43;3;70;3689;463;400;2
44;3;90;4015;459;400;6
45;3;68;3880;419;400;2
46;3;76;3730;405;400;1
47;3;70;3781;403;400;1
48;3;93;3901;368;400;1
49;3;71;3955;333;400;1
50;3;81;3880;328;400;4
51;3;76;3974;275;400;1
52;3;97;3811;248;400;1
53;3;77;3963;227;400;4
54;3;86;3880;219;400;3
55;3;86;3728;217;400;2
56;3;68;3772;150;400;6
57;3;88;3867;95;400;5
58;3;84;4009;82;400;2
59;3;83;3766;61;400;1
60;3;91;3933;30;400;3
61;3;79;3815;16;400;2
62;3;94;3710;7;400;4
63;4;71;3717;2972;400;6
64;4;80;3969;2935;400;3
65;4;68;3667;2931;400;2
66;4;83;3999;2924;400;1
67;4;82;3752;2902;400;6
68;4;95;3906;2839;400;2
69;4;92;3865;2825;400;3
70;4;73;3753;2815;400;4
71;4;86;3816;2773;400;3
72;4;80;3966;2756;400;3
73;4;75;3671;2716;400;3
74;4;86;3764;2649;400;3
75;4;69;3916;2628;400;6
76;4;95;3659;2615;400;4
77;4;75;3857;2588;400;5
78;4;77;3873;2463;400;2
79;4;79;3683;2462;400;4
80;4;84;3718;2405;400;1
81;4;94;3902;2370;400;2
82;4;75;3713;2293;400;4
83;4;83;4013;2235;400;1
84;4;69;3753;2233;400;4
85;4;94;3745;2223;400;6
86;4;92;3673;2202;400;2
87;4;72;3885;2179;400;5
88;4;67;3714;2138;400;3
89;4;78;3675;2085;400;4
90;4;74;3917;2046;400;5
91;4;91;3896;2045;400;1
92;4;84;3723;2029;400;3
93;4;70;3949;1993;400;4
94;4;92;3889;1959;400;4
95;4;74;3792;1891;400;1
96;4;92;4009;1820;400;6
97;4;88;3822;1818;400;2
98;4;89;3851;1801;400;6
99;4;87;3974;1733;400;1
100;4;87;3890;1613;400;6
101;4;83;3893;1566;400;1
102;4;71;3811;1538;400;4
103;4;68;3834;1534;400;5
104;4;92;3772;1490;400;2
105;4;85;3975;1487;400;5
106;4;69;3970;1486;400;2
107;4;87;3783;1479;400;2
108;4;84;3697;1465;400;6
109;4;87;3958;1445;400;3
110;4;73;3780;1418;400;6
111;4;93;3848;1405;400;1
112;4;95;3819;1397;400;4
113;4;95;3855;1396;400;6
114;4;82;3938;1309;400;3
115;4;68;3873;1295;400;4
116;4;79;3812;1188;400;1
117;4;90;3909;1175;400;1
118;4;83;4007;1172;400;1
119;4;92;3928;1104;400;3
120;4;71;3822;1073;400;4
121;4;94;3778;1069;400;2
122;4;92;3806;1049;400;3
123;4;72;3792;1033;400;4
124;4;93;3762;1031;400;1
125;4;83;3875;1029;400;4
126;4;80;3666;999;400;3
127;4;90;3836;995;400;2
128;4;71;3883;969;400;5
129;4;81;3654;966;400;1
130;4;70;3773;938;400;6
131;4;72;3714;890;400;5
132;4;82;3673;878;400;4
133;4;79;3946;877;400;3
134;4;74;3740;798;400;2
135;4;73;3712;767;400;5
136;4;74;3974;748;400;6
137;4;67;3918;746;400;3
138;4;84;3830;736;400;6
139;4;81;3689;633;400;4
140;4;82;3938;623;400;2
141;4;80;3856;596;400;2
142;4;88;3878;552;400;3
143;4;75;3864;547;400;4
144;4;85;3940;534;400;6
145;4;94;3821;515;400;5
146;4;77;3713;507;400;5
147;4;87;3919;479;400;3
148;4;69;3777;446;400;1
149;4;76;3781;438;400;6
150;4;68;3756;421;400;2
151;4;74;3885;407;400;6
152;4;76;3730;405;400;3
153;4;92;4010;375;400;1
154;4;71;3915;325;400;6
155;4;75;3858;298;400;4
156;4;71;3853;279;400;5
157;4;75;3718;256;400;2
158;4;95;3889;210;400;3
159;4;94;3927;172;400;4
160;4;95;3685;138;400;3
161;4;94;4002;120;400;2
162;4;72;3814;104;400;2
163;4;86;3696;45;400;2
164;4;81;3737;39;400;3
165;4;76;3744;36;400;3
166;5;76;3783;2987;370;6
167;5;72;3767;2986;370;2
168;5;71;3975;2981;370;1
169;5;71;4000;2942;370;3
170;5;92;3811;2928;370;4
171;5;91;3937;2916;370;5
172;5;71;3916;2893;370;1
173;5;78;3883;2882;370;3
174;5;75;3718;2881;370;3
175;5;70;3685;2867;370;4
176;5;80;4017;2858;370;6
177;5;86;3701;2751;370;4
178;5;74;3883;2662;370;3
179;5;73;3988;2639;370;4
180;5;87;3701;2626;370;6
181;5;89;3835;2597;370;5
182;5;80;3813;2592;370;1
183;5;88;3900;2546;370;3
184;5;78;3697;2536;370;3
185;5;88;3950;2511;370;4
186;5;72;3812;2489;370;2
187;5;88;3861;2476;370;2
188;5;88;3836;2464;370;3
189;5;86;3891;2436;370;1
190;5;88;3795;2369;370;1
191;5;94;4017;2366;370;1
192;5;85;3780;2345;370;3
193;5;97;3795;2328;370;5
194;5;79;3782;2316;370;3
195;5;96;3656;2305;370;5
196;5;97;3832;2290;370;6
197;5;88;3899;2249;370;1
198;5;94;3745;2223;370;4
199;5;72;3755;2220;370;4
200;5;93;3742;2211;370;3
201;5;95;3934;2206;370;4
202;5;94;3709;2197;370;2
203;5;95;3996;2183;370;3
204;5;74;3836;2123;370;6
205;5;76;3731;2099;370;1
206;5;96;3726;2096;370;6
207;5;93;3792;2084;370;1
208;5;89;3770;2082;370;5
209;5;67;3906;2040;370;5
210;5;76;3868;1994;370;1
211;5;86;3756;1985;370;5
212;5;89;3836;1961;370;5
213;5;72;3922;1930;370;6
214;5;83;4011;1911;370;6
215;5;94;3908;1879;370;2
216;5;95;3814;1872;370;5
217;5;88;3671;1868;370;6
218;5;83;3932;1849;370;6
219;5;97;3816;1732;370;1
220;5;97;3935;1730;370;6
221;5;96;3884;1709;370;3
222;5;88;3826;1687;370;2
223;5;97;3775;1673;370;2
224;5;71;3898;1648;370;3
225;5;84;3903;1647;370;4
226;5;87;3890;1613;370;4
227;5;79;4014;1576;370;2
228;5;94;3892;1541;370;6
229;5;96;3729;1515;370;6
230;5;73;3714;1493;370;2
231;5;91;3801;1462;370;4
232;5;83;3744;1447;370;4
233;5;74;3679;1442;370;2
234;5;86;3888;1429;370;5
235;5;75;3979;1428;370;1
236;5;83;3866;1403;370;1
237;5;88;3747;1401;370;2
238;5;80;3808;1326;370;4
239;5;97;3701;1321;370;1
240;5;69;3906;1262;370;6
241;5;78;3674;1192;370;3
242;5;69;4004;1151;370;1
243;5;84;3773;1132;370;6
244;5;70;4013;1116;370;3
245;5;78;3888;1111;370;5
246;5;75;3750;1096;370;5
247;5;96;3774;1022;370;6
248;5;94;3689;996;370;2
249;5;89;3855;989;370;3
250;5;69;3811;983;370;6
251;5;85;3949;974;370;1
252;5;86;3672;967;370;5
253;5;93;3916;964;370;1
254;5;84;3829;962;370;4
255;5;86;3961;939;370;2
256;5;75;3824;924;370;1
257;5;80;3951;922;370;1
258;5;86;3786;875;370;4
259;5;67;3959;858;370;4
260;5;71;3769;794;370;5
261;5;89;3983;690;370;6
262;5;84;3823;688;370;5
263;5;70;3851;609;370;4
264;5;93;3662;604;370;5
265;5;83;3875;601;370;2
266;5;88;3785;595;370;2
267;5;79;3885;569;370;6
268;5;90;3782;560;370;5
269;5;86;3933;530;370;3
270;5;80;3755;504;370;4
271;5;85;3923;496;370;4
272;5;68;3756;421;370;4
273;5;79;3777;420;370;2
274;5;90;3774;418;370;3
275;5;84;3938;356;370;2
276;5;97;3781;327;370;5
277;5;80;3980;303;370;2
278;5;74;3793;288;370;3
279;5;88;3850;269;370;2
280;5;71;3808;255;370;6
281;5;88;3817;180;370;3
282;5;97;3959;155;370;4
283;5;79;3947;125;370;6
284;5;91;3757;62;370;1
285;5;97;3842;56;370;2
286;5;86;3988;17;370;1
287;6;83;3928;2996;370;4
288;6;86;3942;2980;370;6
289;6;77;3733;2971;370;5
290;6;73;3960;2938;370;1
291;6;85;3849;2925;370;4
292;6;69;3879;2922;370;1
293;6;79;3910;2899;370;4
294;6;73;3918;2876;370;1
295;6;69;3754;2870;370;3
296;6;85;3737;2833;370;2
297;6;74;4004;2828;370;1
298;6;83;3677;2814;370;3
299;6;82;3676;2809;370;6
300;6;87;3931;2781;370;1
301;6;82;3765;2740;370;4
302;6;76;3951;2693;370;5
303;6;73;3661;2669;370;3
304;6;74;3883;2662;370;5
305;6;88;3970;2661;370;3
306;6;80;3777;2651;370;3
307;6;82;3675;2646;370;6
308;6;70;3866;2642;370;3
309;6;73;3988;2639;370;1
310;6;68;3827;2638;370;5
311;6;88;3976;2604;370;1
312;6;71;3998;2584;370;1
313;6;87;3798;2503;370;4
314;6;93;3930;2499;370;4
315;6;70;3673;2478;370;5
316;6;84;3911;2454;370;6
317;6;75;3877;2442;370;4
318;6;67;3939;2425;370;4
319;6;74;3849;2372;370;4
320;6;72;3685;2368;370;1
321;6;85;3798;2358;370;1
322;6;80;3755;2340;370;5
323;6;76;3702;2274;370;4
324;6;79;3794;2218;370;2
325;6;69;3895;2217;370;2
326;6;79;3667;2192;370;2
327;6;92;3682;2163;370;2
328;6;78;3726;2139;370;6
329;6;90;3735;2064;370;4
330;6;96;3898;2063;370;1
331;6;77;3948;2037;370;6
332;6;88;3898;2026;370;6
333;6;89;3863;2001;370;1
334;6;74;3708;1988;370;1
335;6;91;4007;1931;370;2
336;6;69;3933;1922;370;3
337;6;68;4017;1920;370;6
338;6;68;3708;1869;370;3
339;6;90;3856;1831;370;5
340;6;73;3911;1825;370;4
341;6;77;3873;1817;370;4
342;6;73;3778;1783;370;2
343;6;68;3806;1776;370;6
344;6;92;3860;1757;370;2
345;6;72;3997;1756;370;1
346;6;77;4017;1601;370;5
347;6;86;3997;1547;370;4
348;6;94;3877;1528;370;6
349;6;71;3680;1502;370;2
350;6;83;3797;1500;370;2
351;6;91;3726;1478;370;4
352;6;77;3778;1467;370;1
353;6;70;3924;1436;370;5
354;6;94;3946;1434;370;1
355;6;77;3807;1430;370;1
356;6;85;3889;1424;370;4
357;6;76;3940;1414;370;1
358;6;89;3975;1346;370;6
359;6;74;3951;1177;370;3
360;6;67;3964;1165;370;1
361;6;86;3893;1162;370;6
362;6;96;3883;1160;370;1
363;6;93;3730;1122;370;4
364;6;87;3952;997;370;2
365;6;84;3864;907;370;3
366;6;86;3997;902;370;2
367;6;75;3982;829;370;6
368;6;91;3893;827;370;1
369;6;79;3708;816;370;1
370;6;96;3756;769;370;3
371;6;74;3983;756;370;4
372;6;68;3713;750;370;3
373;6;94;3654;721;370;1
374;6;89;3897;702;370;2
